kernel_name,layout,use_smem,M,N,run,time_ms,bw_gbps,checksum
Ar_Br_flat_col,Ar_Br,0,16384,16384,17,12.150944,530.202,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,18,12.148096,530.326,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,19,12.158688,529.864,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,20,12.157920,529.897,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,21,12.171680,529.298,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,22,12.170976,529.329,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,23,12.152576,530.130,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,24,12.165600,529.563,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,25,12.154304,530.055,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,26,12.168896,529.420,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,27,12.156192,529.973,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,28,12.165120,529.584,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,29,12.157248,529.927,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,30,12.166272,529.534,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,31,12.158912,529.854,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,32,12.147392,530.357,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,33,12.163712,529.645,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,34,12.164672,529.603,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,35,12.141824,530.600,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,36,12.159360,529.835,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,37,12.166656,529.517,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,38,12.158752,529.861,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,39,12.168192,529.450,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,40,12.168416,529.440,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,41,12.158752,529.861,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,42,12.164640,529.605,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,43,12.165600,529.563,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,44,12.153568,530.087,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,45,12.164320,529.619,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,46,12.168288,529.446,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,47,12.169728,529.383,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,48,12.162240,529.709,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,49,12.160960,529.765,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,50,12.162176,529.712,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,51,12.168416,529.440,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,52,12.163168,529.669,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,53,12.166464,529.525,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,54,12.168352,529.443,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,55,12.165504,529.567,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,56,12.157344,529.923,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,57,12.169344,529.400,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,58,12.173568,529.216,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,59,12.154304,530.055,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,60,12.166400,529.528,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,61,12.157248,529.927,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,62,12.169536,529.392,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,63,12.166432,529.527,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,64,12.165248,529.578,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,65,12.154656,530.040,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,66,12.158528,529.871,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,67,12.158400,529.877,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,68,12.166720,529.514,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,69,12.167328,529.488,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,70,12.168800,529.424,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,71,12.152416,530.137,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,72,12.158112,529.889,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,73,12.172064,529.282,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,74,12.158080,529.890,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,75,12.159136,529.844,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,76,12.164576,529.608,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,77,12.152352,530.140,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,78,12.163680,529.647,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,79,12.166336,529.531,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,80,12.158208,529.885,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,81,12.157920,529.897,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,82,12.159104,529.846,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,83,12.161696,529.733,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,84,12.164704,529.602,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,85,12.158272,529.882,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,86,12.165664,529.560,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,87,12.155200,530.016,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,88,12.163680,529.647,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,89,12.167168,529.495,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,90,12.167616,529.475,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,91,12.152480,530.135,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,92,12.154784,530.034,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,93,12.158208,529.885,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,94,12.158944,529.853,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,95,12.163776,529.642,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,96,12.167296,529.489,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,97,12.166912,529.506,40260355806.111153
