backend,variant,nlev,nproma,cell_dist,blocking,parallelization,run_id,time_ms
cpu,2,90,81920,uniform,0,omp_collapse2,75,2.438288000
cpu,2,90,81920,uniform,0,omp_collapse2,76,2.425218000
cpu,2,90,81920,uniform,0,omp_collapse2,77,2.474348000
cpu,2,90,81920,uniform,0,omp_collapse2,78,2.403116000
cpu,2,90,81920,uniform,0,omp_collapse2,79,2.462908000
cpu,2,90,81920,uniform,0,omp_collapse2,80,2.400908000
cpu,2,90,81920,uniform,0,omp_collapse2,81,2.456008000
cpu,2,90,81920,uniform,0,omp_collapse2,82,2.431357000
cpu,2,90,81920,uniform,0,omp_collapse2,83,2.455578000
cpu,2,90,81920,uniform,0,omp_collapse2,84,2.438728000
cpu,2,90,81920,uniform,0,omp_collapse2,85,2.462218000
cpu,2,90,81920,uniform,0,omp_collapse2,86,2.439198000
cpu,2,90,81920,uniform,0,omp_collapse2,87,2.442858000
cpu,2,90,81920,uniform,0,omp_collapse2,88,2.430207000
cpu,2,90,81920,uniform,0,omp_collapse2,89,2.412067000
cpu,2,90,81920,uniform,0,omp_collapse2,90,2.415757000
cpu,2,90,81920,uniform,0,omp_collapse2,91,2.443308000
cpu,2,90,81920,uniform,0,omp_collapse2,92,2.443888000
cpu,2,90,81920,uniform,0,omp_collapse2,93,2.473938000
cpu,2,90,81920,uniform,0,omp_collapse2,94,2.470208000
cpu,2,90,81920,uniform,0,omp_collapse2,95,2.504228000
cpu,2,90,81920,uniform,0,omp_collapse2,96,2.440748000
cpu,2,90,81920,uniform,0,omp_collapse2,97,2.419518000
cpu,2,90,81920,uniform,0,omp_collapse2,98,2.428098000
cpu,2,90,81920,uniform,0,omp_collapse2,99,2.444518000
cpu,3,90,81920,uniform,0,omp_for,0,1.486181000
cpu,3,90,81920,uniform,0,omp_for,1,1.534082000
cpu,3,90,81920,uniform,0,omp_for,2,1.513611000
cpu,3,90,81920,uniform,0,omp_for,3,1.675842000
cpu,3,90,81920,uniform,0,omp_for,4,1.556262000
cpu,3,90,81920,uniform,0,omp_for,5,1.530492000
cpu,3,90,81920,uniform,0,omp_for,6,1.558572000
cpu,3,90,81920,uniform,0,omp_for,7,1.547062000
cpu,3,90,81920,uniform,0,omp_for,8,1.502301000
cpu,3,90,81920,uniform,0,omp_for,9,1.510641000
cpu,3,90,81920,uniform,0,omp_for,10,1.525922000
cpu,3,90,81920,uniform,0,omp_for,11,1.712422000
cpu,3,90,81920,uniform,0,omp_for,12,1.557251000
cpu,3,90,81920,uniform,0,omp_for,13,1.600412000
cpu,3,90,81920,uniform,0,omp_for,14,1.721523000
cpu,3,90,81920,uniform,0,omp_for,15,1.553051000
cpu,3,90,81920,uniform,0,omp_for,16,1.540931000
cpu,3,90,81920,uniform,0,omp_for,17,1.529191000
cpu,3,90,81920,uniform,0,omp_for,18,1.596341000
cpu,3,90,81920,uniform,0,omp_for,19,1.527571000
cpu,3,90,81920,uniform,0,omp_for,20,1.536232000
cpu,3,90,81920,uniform,0,omp_for,21,1.600612000
cpu,3,90,81920,uniform,0,omp_for,22,1.603902000
